HEX	Z80 OPCODE	T-STATES
5E	LD E,(HL)	7
5F	LD E,A	4
60	LD H,B	4
61	LD H,C	4
62	LD H,D	4
63	LD H,E	4
64	LD H,H	4
65	LD H,L	4
66	LD H,(HL)	7
67	LD H,A	4
68	LD L,B	4
69	LD L,C	4
6A	LD L,D	4
6B	LD L,E	4
6C	LD L,H	4
6D	LD L,L	4
6E	LD L,(HL)	7
6F	LD L,A	4
70	LD (HL),B	7
71	LD (HL),C	7
72	LD (HL),D	7
73	LD (HL),E	7
74	LD (HL),H	7
75	LD (HL),L	7
76	HALT	4
77	LD (HL),A	7
78	LD A,B	4
79	LD A,C	4
7A	LD A,D	4
7B	LD A,E	4
7C	LD A,H	4
7D	LD A,L	4
7E	LD A,(HL)	7
7F	LD A,A	4
80	ADD A,B	4
81	ADD A,C	4
82	ADD A,D	4
83	ADD A,E	4
84	ADD A,H	4
85	ADD A,L	4
86	ADD A,(HL)	7
87	ADD A,A	4
88	ADC A,B	4
89	ADC A,C	4
8A	ADC A,D	4
8B	ADC A,E	4
8C	ADC A,H	4
8D	ADC A,L	4
8E	ADC A,(HL)	7
8F	ADC A,A	4
90	SUB A,B	4
91	SUB A,C	4
92	SUB A,D	4
93	SUB A,E	4
94	SUB A,H	4
95	SUB A,L	4
96	SUB A,(HL)	7
97	SUB A,A	4
98	SBC A,B	4
99	SBC A,C	4
9A	SBC A,D	4
9B	SBC A,E	4
9C	SBC A,H	4
9D	SBC A,L	4
9E	SBC A,(HL)	7
9F	SBC A,A	4
A0	AND B	4
A1	AND C	4
A2	AND D	4
A3	AND E	4
A4	AND H	4
A5	AND L	4
A6	AND (HL)	7
A7	AND A	4
A8	XOR B	4
A9	XOR C	4
AA	XOR D	4
AB	XOR E	4
AC	XOR H	4
AD	XOR L	4
AE	XOR (HL)	7
AF	XOR A	4
B0	OR B	4
B1	OR C	4
B2	OR D	4
B3	OR E	4
B4	OR H	4
B5	OR L	4
B6	OR (HL)	7
B7	OR A	4
B8	CP B	4
B9	CP C	4
BA	CP D	4
BB	CP E	4
BC	CP H	4
BD	CP L	4
BE	CP (HL)	7
BF	CP A	4
C0	RET NZ	11,15
C1	POP BC	10
C2 LL HH	JP NZ,HHLL	10
C3 LL HH	JP HHLL	10
C4 LL HH	CALL NZ,HHLL	17,10
C5	PUSH BC	10
C6 NN	ADD A,NN	7
C7	RST 00	11
C8	RET Z	11,15
C9	RET	10
CA LL HH	JP Z,HHLL	10
CB	CB Opcodes	
CC LL HH	CALL Z,HHLL	17,10
CD LL HH	CALL HHLL	17
CE NN	ADC A,NN	7
CF	RST 08	11
D0	RET NC	11,15
D1	POP DE	10
D2 LL HH	JP NC,HHLL	10
D3 NN	OUT (NN),A	11
D4 LL HH	CALL NC,HHLL	17,10
D5	PUSH DE	10
D6 NN	SUB A,NN	7
D7	RST 10	11
D8	RET C	11,15
D9	EXX	4
DA LL HH	JP C,HHLL	10
DB NN	IN A,(NN)	11
DC LL HH	CALL C,HHLL	17,10
DD	DD Opcodes	
DE NN	SBC A,NN	7
DF	RST 18	11
E0	RET PO	11,15
E1	POP HL	10
E2 LL HH	JP PO,HHLL	10
E3	EX (SP),HL	19
E4 LL HH	CALL PO,HHLL	17,10
E5	PUSH HL	10
E6 NN	AND NN	7
E7	RST 20	11
E8	RET PE	11,15
E9	JP (HL)	4
EA LL HH	JP PE,HHLL	10
EB	EX DE,HL	4
EC LL HH	CALL P,HHLL	17,10
ED	ED Opcodes	
EE NN	XOR NN	7
EF	RST 28	11
F0	RET P	11,15
F1	POP AF	10
F2 LL HH	JP P,HHLL	10
F3	DI	4
F4 LL HH	CALL P,HHLL	17,10
F5	PUSH AF	10
F6 NN	OR NN	7
F7	RST 30	11
F8	RET M	11,15
F9	LD SP,HL	10
FA LL HH	JP M,HHLL	10
FB	EI	4
FC LL HH	CALL M,HHLL	17,10
FD	FD Opcodes	
FE NN	CP NN	7
FF	RST 38	11
